id,attribute,count
203,coffee,1
203,conditioned,1
203,imperial,1
203,imperial milk stout,1
203,milk,1
203,milk stout,1
203,stout,1
207,aged,2
207,barrel,1
207,barrels,1
207,conditioned,1
207,rye,1
207,rye whisky barrels,1
207,sessionable,1
207,stout,1
207,whisky,1
178,galaxy,1
178,hopped,1
178,ipa,1
178,lactose,1
178,medusa,1
146,cinnamon,1
146,conditioned,1
146,ginger,1
146,imperial,1
146,imperial porter,1
146,lactose,1
146,madagascar vanilla,1
146,molasses,1
146,porter,1
146,vanilla,1
105,russell,1
59,enigma,1
59,hopped,1
59,mosaic,1
25,ale,1
25,harvest,1
25,pale,1
25,pale ale,1
25,southern hemisphere,1
25,whipped,1
36,@rojosroastery,1
36,cacao,1
36,cacao nibs,1
36,coffee,1
36,conditioned,1
36,lactose,1
36,ochochoque,1
36,pastrywine,1
36,quilla,1
154,ales,1
154,lassi,1
154,mango,1
154,smoothie,1
33,hopped,1
116,enigma,1
116,hopped,1
52,coconut,1
52,conditioned,1
52,imperial,1
52,imperial milk porter,1
52,milk,1
52,milk porter,1
52,organic,1
52,porter,1
52,toasted,1
52,toasted coconut,1
46,@rojosroastery,1
46,coffee,1
46,conditioned,1
46,imperial,1
46,imperial milk stout,1
46,madagascar vanilla,1
46,milk,1
46,milk stout,1
46,stout,1
46,vanilla,1
112,flower,1
112,spiced,1
112,vic secret,1
32,amarillo,1
32,american,1
32,american varietals,1
32,fresh,1
32,hopped,1
14,azacca,1
14,el dorado,1
14,hopped,1
111,ale,1
111,citra,1
111,galaxy,1
111,hoppy,1
111,hoppy ale,1
80,ale,1
80,hoppy,1
80,hoppy ale,1
143,ale,1
143,smoothie,1
143,smoothie ale,1
38,ale,1
38,hoppy,1
38,hoppy ale,1
97,ale,1
97,kettle soured,1
97,nectarines,1
97,peaches,1
97,refermented,1
97,soured,1
97,wheat,1
61,coconut,1
61,conditioned,1
61,imperial,1
61,imperial milk porter,1
61,madagascar vanilla,1
61,milk,1
61,milk porter,1
61,porter,1
61,toasted,1
61,toasted coconut,1
61,vanilla,1
193,denali,2
193,hopped,1
176,ale,1
176,hoppy,1
176,hoppy ale,1
82,ale,1
82,hoppy,1
82,hoppy ale,1
182,ale,1
182,dry hopped,1
182,hibiscus,1
182,hopped,1
182,kettle soured,1
182,kettle soured ale,1
182,lactose,1
182,motueka,1
182,nelson,1
182,nelson sauvin,1
182,sauvin,1
182,soured,1
182,soured ale,1
73,ale,1
73,hoppy,1
73,hoppy ale,1
73,hops,1
43,ale,1
43,hoppy,1
43,hoppy ale,1
211,cinnamon,1
211,coffee,1
211,imperial,1
211,imperial milk stout,1
211,milk,1
211,milk stout,1
211,peppers,1
211,stout,1
213,ale,1
213,hoppy,1
213,hoppy ale,1
18,ale,1
18,hoppy,1
18,hoppy ale,1
63,ale,1
63,conditioned,1
63,kettle soured,1
63,kettle soured ale,1
63,lactose,1
63,lemon,1
63,peel,1
63,raspberry,1
63,refermented,1
63,soured,1
63,soured ale,1
63,zested,1
158,ale,1
158,hoppy,1
158,hoppy ale,1
48,@rojosroastery,1
48,beans,1
48,coconut,1
48,conditioned,1
48,confectionery,1
48,imperial,1
48,imperial milk stout,1
48,lactose,1
48,milk,1
48,milk stout,1
48,stout,1
48,untoasted,1
89,ale,1
89,creamed,1
89,honey,1
89,hoppy,1
89,hoppy ale,1
89,hops,1
89,refermented,1
89,russell,1
89,wildflower honey,1
76,ale,1
76,hoppy,1
76,hoppy ale,1
121,ale,1
121,american,1
121,barleywine,1
121,barleywine style ale,1
149,ale,1
149,galaxy,1
149,hoppy,1
149,session,1
186,ale,1
186,flowers,1
186,hoppy,1
186,hoppy ale,1
217,ale,1
217,conditioned,1
217,kettle soured,1
217,kettle soured ale,1
217,lactose,1
217,madagascar vanilla,1
217,mango,1
217,refermented,1
217,soured,1
217,soured ale,1
217,tahitian madagascar vanilla,1
217,vanilla,1
56,ale,1
56,hoppy,1
56,hoppy ale,1
56,lactose,1
24,ale,1
24,hoppy,1
24,hoppy ale,1
41,ale,1
41,fermented,1
41,hoppy,1
41,hoppy ale,1
41,neutral,1
41,strain,1
41,yeast,1
55,boiled,1
55,conditioned,1
55,imperial,1
55,imperial milk stout,1
55,lactose,1
55,milk,1
55,milk stout,1
55,stout,1
78,ale,1
78,fruit,1
78,guava,1
78,kettle soured,1
78,kettle soured ale,1
78,lactose,1
78,passion fruit,1
78,refermented,1
78,soured,1
78,soured ale,1
72,ale,1
72,hoppy,1
72,hoppy ale,1
45,ale,1
45,hoppy,1
45,hoppy ale,1
2,ale,1
2,hoppy,1
2,hoppy ale,1
130,ale,1
130,coconut,1
130,conditioning,1
130,kettle soured,1
130,kettle soured ale,1
130,lactose,1
130,pineapple,1
130,refermented,1
130,soured,1
130,soured ale,1
130,untoasted,1
130,untoasted coconut,1
3,ale,1
3,honey,1
3,hoppy,1
3,hoppy ale,1
192,ale,1
192,hoppy,1
192,hoppy ale,1
192,sessionable,1
26,american,1
26,american varietals,1
26,dry hopped,1
26,hopped,1
26,keller,1
26,keller pils,1
26,pils,1
26,southern hemisphere,1
67,ale,1
67,hoppy,1
67,hoppy ale,1
180,ale,1
180,hoppy,1
180,hoppy ale,1
75,ale,1
75,hoppy,1
75,hoppy ale,1
181,ale,1
181,hoppy,1
181,hoppy ale,1
181,oats,1
104,ale,1
104,honey,1
104,hoppy,1
104,hoppy ale,1
201,ale,1
201,balanced,1
201,blackberry,1
201,conditioning,1
201,kettle soured,1
201,kettle soured ale,1
201,lactose,1
201,madagascar vanilla,1
201,refermented,1
201,soured,1
201,soured ale,1
201,strawberry,1
201,tahitian madagascar vanilla,1
201,vanilla,1
1,ale,1
1,hoppy,1
1,hoppy ale,1
64,ale,1
64,conditioned,1
64,granola,1
64,honey,1
64,hoppy,1
64,hoppy ale,1
64,lactose,1
64,madagascar vanilla,1
64,maple,1
64,maple granola,1
64,vanilla,1
69,ale,1
69,hoppy,1
69,hoppy ale,1
212,@rojosroastery,1
212,coffee,1
212,conditioned,1
212,imperial,1
212,imperial milk stout,1
212,milk,1
212,milk stout,1
212,oaxaca,1
212,stout,1
212,yaitepec,1
6,ale,1
6,hoppy,1
6,hoppy ale,1
6,lactose,1
6,peach,1
6,refermented,1
29,ale,1
29,hoppy,1
29,hoppy ale,1
88,ale,1
88,kettle soured,1
88,kettle soured ale,1
88,lactose,1
88,refermented,1
88,soured,1
88,soured ale,1
165,ale,1
165,hoppy,1
165,hoppy ale,1
221,ale,1
221,hoppy,1
221,hoppy ale,1
16,ale,1
16,hoppy,1
16,hoppy ale,1
187,ale,1
187,hoppy,1
187,hoppy ale,1
145,ale,1
145,conditioned,1
145,hoppy,1
145,hoppy ale,1
145,lactose,1
145,madagascar vanilla,1
145,refermented,1
145,strawberry,1
145,vanilla,1
145,vanilla bean,1
90,ale,1
90,hoppy,1
90,hoppy ale,1
93,@rojosroastery,1
93,autumnal,1
93,boiled,1
93,boiled overnight,1
93,coffee,1
93,conditioned,1
93,imperial,1
93,imperial sweet stout,1
93,lactose,1
93,maple,1
93,maple syrup,1
93,spices,1
93,stout,1
93,sumatra,1
93,sweet,1
93,syrup,1
93,tahitian vanilla,1
93,vanilla,1
157,ale,1
157,coconut,1
157,conditioned,1
157,guava,1
157,kettle soured,1
157,kettle soured ale,1
157,lactose,1
157,mango,1
157,refermented,1
157,soured,1
157,soured ale,1
157,untoasted,1
157,untoasted coconut,1
229,ale,1
229,hoppy,1
229,hoppy ale,1
44,ale,1
44,hoppy,1
44,hoppy ale,1
216,ale,1
216,hoppy,1
216,hoppy ale,1
101,cacao,1
101,cacao nibs,1
101,cinnamon,1
101,conditioned,1
101,imperial,1
101,imperial milk stout,1
101,lactose,1
101,milk,1
101,milk stout,1
101,pepper,1
101,stout,1
101,tahitian vanilla,1
101,vanilla,1
184,ale,1
184,hoppy,1
184,hoppy ale,1
100,ale,1
100,hoppy,1
100,hoppy ale,1
15,ale,1
15,fermented,1
15,hoppy,1
15,hoppy ale,1
15,yeasts,1
0,ale,1
0,hoppy,1
0,hoppy ale,1
79,ale,1
79,hoppy,1
79,hoppy ale,1
148,ale,1
148,blueberry,1
148,boysenberry,1
148,cherry,1
148,cinnamon,1
148,conditioned,1
148,kettle soured,1
148,kettle soured ale,1
148,lactose,1
148,raspberry,1
148,refermented,1
148,soured,1
148,soured ale,1
148,tahitian vanilla,1
148,vanilla,1
142,ale,1
142,hoppy,1
142,hoppy ale,1
84,ale,1
84,hoppy,1
84,hoppy ale,1
150,ale,1
150,hoppy,1
150,hoppy ale,1
144,@rojosroastery,1
144,boiled,1
144,boiled overnight,1
144,coffee,1
144,conditioning,1
144,guatemalan,1
144,guatemalan coffee,1
144,imperial,1
144,imperial milk stout,1
144,lactose,1
144,milk,1
144,milk stout,1
144,palo santo wood,1
144,stout,1
124,ale,1
124,hoppy,1
124,hoppy ale,1
37,ale,1
37,hoppy,1
37,hoppy ale,1
179,ale,1
179,conditioned,1
179,fresh,1
179,kettle soured,1
179,kettle soured ale,1
179,lactose,1
179,lemon zest,1
179,mango,1
179,refermented,1
179,soured,1
179,soured ale,1
179,strawberry,1
228,ale,1
228,hoppy,1
228,hoppy ale,1
227,ale,1
227,conditioned,1
227,hoppy,1
227,hoppy ale,1
227,lactose,1
227,madagascar vanilla,1
227,vanilla,1
225,ale,1
225,hoppy,1
225,hoppy ale,1
230,ale,1
230,hoppy,1
230,hoppy ale,1
231,ale,1
231,hoppy,1
231,hoppy ale,1
252,ale,1
252,fruit,1
252,guava,1
252,kettle soured,1
252,kettle soured ale,1
252,passion fruit,1
252,refermented,1
252,soured,1
252,soured ale,1
252,tangerine,1
250,ale,1
250,hoppy,1
250,hoppy ale,1
234,ale,1
234,boiled,1
234,boiled overnight,1
234,butterscotch candies,2
234,conditioned,1
234,imperial,1
234,imperial mild ale,1
234,lactose,1
234,madagascar vanilla,1
234,malt,1
234,maris,1
234,marshmallows,1
234,mild,1
234,peanut,1
234,vanilla,1
261,ale,1
261,hoppy,1
261,hoppy ale,1
248,ale,1
248,hoppy,1
248,hoppy ale,1
251,ale,1
251,conditioned,1
251,kettle soured,1
251,kettle soured ale,1
251,mango,1
251,refermented,1
251,soured,1
251,soured ale,1
251,tahitian vanilla,1
251,vanilla,1
254,@rojosroastery,1
254,beans,1
254,colombian,1
254,conditioned,1
254,ethiopian,1
254,imperial,1
254,imperial stout,1
254,madagascar vanilla,1
254,stout,1
254,vanilla,1
260,ale,1
260,hoppy,1
260,hoppy ale,1
240,ale,1
240,hoppy,1
240,hoppy ale,1
247,ale,1
247,hoppy,1
247,hoppy ale,1
241,ale,1
241,hoppy,1
241,hoppy ale,1
253,ale,1
253,conditioned,1
253,fresh,1
253,hoppy,1
253,hoppy ale,1
253,lactose,1
253,madagascar vanilla,1
253,orange zest,1
253,vanilla,1
259,ale,1
259,cherry,1
259,cinnamon,1
259,coconut,1
259,conditioned,1
259,granola,1
259,kettle soured,1
259,kettle soured ale,1
259,lactose,1
259,maple,1
259,raspberry,1
259,refermented,1
259,soured,1
259,soured ale,1
255,@rojosroastery,1
255,coffee,1
255,conditioned,1
255,imperial,1
255,imperial stout,1
255,mexican,1
255,stout,1
258,ale,1
258,hoppy,1
258,hoppy ale,1
245,ale,1
245,hoppy,1
245,hoppy ale,1
242,ale,1
242,hoppy,1
242,hoppy ale,1
238,ale,1
238,guava,1
238,kettle soured,1
238,kettle soured ale,1
238,lactose,1
238,mango,1
238,refermented,1
238,soured,1
238,soured ale,1
238,tahitian vanilla,1
238,vanilla,1
243,ale,1
243,hoppy,1
243,hoppy ale,1
246,banana,1
246,butter,1
246,conditioned,1
246,imperial,1
246,imperial stout,1
246,lactose,1
246,marshmallow,1
246,peanut,1
246,stout,1
246,tahitian vanilla,1
246,vanilla,1
239,dragon,1
239,fruit,1
239,lager,1
239,pineapple,1
239,refermented,1
256,ale,1
256,blackberry,1
256,kettle soured,1
256,kettle soured ale,1
256,lactose,1
256,raspberry,1
256,refermented,1
256,soured,1
256,soured ale,1
256,tahitian vanilla,1
256,vanilla,1
257,ale,1
257,hoppy,1
257,hoppy ale,1
244,@rojosroastery,1
244,autumnal,1
244,black walnut,1
