id,URL,age,likes,post_text,post_date
0,https://www.instagram.com/p/B5tPcWUFa6b/,"DECEMBER 5, 2019",1375,"6:19pm UPDATE: We are SOLD OUT! Now the long wait until Monday :) .

Just three days until our Anniversary celebration, we can't wait to hang with those of you who got tickets! 'Til then, 420 cans, 2/pp. It is 5:05pm. .

No Trash In The Bins, 8.6%- Hoppy Ale. .

As much as we enjoy throwing away water-logged diapers, fast food boxes and empty cans before we can mash out, we really must ask yet again that you please not deposit any trash in our grain bins. Thanks!",
1,https://www.instagram.com/p/Bz1NhF5l1hz/,"JULY 12, 2019",1198,"6:17pm UPDATE: We are SOLD OUT. I guess that bridge got everyone excited! Sorry for the pandemonium. .

Ayo! The bridge on 518 is finally fucking open! Come celebrate with 425 cans of new beer, 2/pp. It is 5:15pm. .

Trying To Get Fired, 8%- Hoppy ale.",
2,https://www.instagram.com/p/Bv9hbfFFjBo/,"APRIL 7, 2019",1184,"2:37pm UPDATE: We are SOLD OUT :) So nice (out), we had to can twice. 400 cans, 2/pp. Roll the windows down and smell that Spring air. It is 12:37pm right now! .

Venous Draw, 8.9%- Hoppy Ale. You'll need more than one drop. *Actual canning date 4/6/2019*",
3,https://www.instagram.com/p/Bw-aDxhFO5B/,"MAY 2, 2019",1193,"UPDATE 6:21pm: We are SOLD OUT :) .

Fuck it's nice out, come on down and drink some beer with us! 400 cans, 2/pp. It is 5:23pm. .

Remorseless, 10.5%- Hoppy ale brewed with honey.",
4,https://www.instagram.com/p/BcYX5JolZxX/,"DECEMBER 6, 2017",475,"We've been inundated with requests for more info about the anniversary this Sunday so here's the scoop (just as a sidenote we don't answer requests about any releases through our website contact page or on Instagram messenger so please be patient and wait for the posts here) : .

The brewery will be open at 11:30am December 10th for merch if you are so inclined. We will have 50 anniversary hoodies and 50 anniversary shirts courtesy of our dude @bosssdog, the burning Troon teku pictured last week (1pp), and this very special 1 year, 16oz Willi Becher (2pp). They say the reaper never takes a vacation but thanks to a fully loaded crowler helmet equipped with our patent pending and ultra-convenient viewing panels you can be confident that if well-provisioned, no death is imminent on Sunday. .

If glasses and clothing aren't your thing then please join us at the same time (11:30am) @brickfarmtavern for a special release of some vintage kegs we've been holding on to. We're still tasting through all of the kegs we've set aside but the full taplist will be posted Sunday morning just in case none of it piques your interest and you want to save money on that all too precious gas. .

I'll save the sentimental stuff for the day after but for now I hope that sates your collective curiosity. See ya Sunday!",
5,https://www.instagram.com/p/BVK4XNkBXX8/,"JUNE 10, 2017",210,"We are SOLD OUT of growler fills. This unfortunately means that we won't be able to open tomorrow, but the plus side is that I'll be able to brew instead. Thank you for your patience as we try to adjust to the increased demand for our beer.",
6,https://www.instagram.com/p/B0v6XioJ3lx/,"AUGUST 4, 2019",1253,"2:15pm UPDATE: We are SOLD OUT :) .

Another perfect Sunday. If you aren't already tubing down the Delaware or slathering yourself in Bali Body at the shore #ad then consider stopping by for some suds! 460 cans, 2/pp. It is 12:23pm. .

First and Foremost, 9.4%- Hoppy ale brewed with lactose and refermented with peach. .

We got a totally shit yield on this one so draught availability is next to none. We apologize about that.",
7,https://www.instagram.com/p/BhC88r7BnI6/,"APRIL 1, 2018",693,"Pre-orders are now CLOSED! We got an overwhelming amount of emails but once we sort through them all we will email the winners. Thanks! .

Whence it Came, 11.5%- Just about this time two years ago, when @thereferendbierblendery and Troon were merely paperwork buried on someone's desk at the ABC, James and I met up to commiserate about how slow the application process was going. In our distracted state we mistakenly had our scale set to ounces instead of grams and ingested WAY too many mushrooms. To combat the effects we figured we ought to drink a bunch of beer but all we had was macro lager. Needless to say our night was spent elbow to elbow at the Referend's urinals (yes, you can fantasize about this you sick fucks). Quotidian and cliché as it may seem to those who have never taken hallucinogens, in the moment we were fascinated at the almost immediate feedback of having all of this beer, which we acknowledged was a result of hundreds of millions of dollars in infrastructure and centuries of experimentation, come right back out and be flushed away without a second thought. And just like that, inspiration struck! With Easter looming on the horizon we were already discussing the finer points of resurrection, so why not extend that concept to beer? I grabbed a flashlight and a socket set, James grabbed his best gloves and beakers, and we trekked outside to open the septic manway (pictured above) to snag a sample. We pitched wort into seven different beakers of reclaimed septic and selected the best result. We don't have microscopes or anything but the resultant yeast and bacteria smelled decent so we added it into two oak barrels of what eventually became Whence it Came. Brewed with Rye, hopped gently with Saaz and coolship-cooled in the septic field to really bring it full circle. True outhouse funk on this one, with butthole-puckering acidity. . *Please note that in the interest of transparency, and out of respect for @thereferendbierblendery, this is NOT a fully spontaneous beer.* .",
8,https://www.instagram.com/p/BYOxRdcBWcy/,"AUGUST 25, 2017",360,"8/26 UPDATE #2: We will be CLOSED tomorrow, 8/27, as we sold out of beer today. .

Don't fear the reaper, feed it. We are all plodding towards an inexorable demise, the least we can do is make amends with Death before it visits. Our new glass will make you fast friends, with convenient viewing panels to ensure that he is well provisioned with Troon beer. On the right is an illustration of that concept, and on the left is the back of the glass featuring this weekend's can: Ageless Witticism, 9.5%- Fruit smoothie ale brewed with lactose and refermented on a whole bunch of raspberry and cherry. An ale for the people out there who are actively seeking ways not to taste any beer in their beer, and a fine first offering to the reaper. This is our first DOUBLE BATCH and we are happy to be opening tonight with just over 600 cans and 140 glasses.",
9,https://www.instagram.com/p/BXHR8PRhtbQ/,"JULY 28, 2017",274,"Hey guys, normal release stuff to follow but I wanted to lead with the exciting news that @thereferendbierblendery will be releasing a brand new beer (in incredibly beautiful 75cl bottles) tomorrow that warrants your attention. Refermented on NJ wine grapes that those crazy motherfuckers picked themselves, this beer is like nothing else you will try in the Garden State this year.
.

Bumf, 6.4%- American Blonde Ale hopped entirely with Motueka. Full-bodied but refreshing enough to sate your poolside appetite. .

Nothingness is Not a Curse, 7.1%- An impossibly hop saturated melange of Mosaic lupulin powder and Citra. Life is a burden, Nothingness is a reprieve from the hell of sentience. .

3 cans per beer per person per day as per usual. About 190 cans of each for the weekend.",
